file_path,mean_score
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site1_FITC_Day1.png,92.13
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site1_FITC_Day2.png,57.88
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site1_Hoechst.png,7.76
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site1_TRITC_Day0.png,88.78
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site1_TRITC_Day1.png,98.11
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site1_TRITC_Day2.png,105.06
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site2_FITC_Day0.png,104.18
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site2_FITC_Day1.png,94.09
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site2_FITC_Day2.png,77.65
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site2_Hoechst.png,6.92
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site2_TRITC_Day0.png,78.56
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site2_TRITC_Day1.png,111.81
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site2_TRITC_Day2.png,114.96
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site3_FITC_Day0.png,108.97
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site3_FITC_Day1.png,69.47
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site3_FITC_Day2.png,96.57
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site3_Hoechst.png,10.24
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site3_TRITC_Day0.png,90.6
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site3_TRITC_Day1.png,110.39
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site3_TRITC_Day2.png,112.68
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site4_FITC_Day0.png,113.64
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site4_FITC_Day1.png,69.33
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site4_FITC_Day2.png,81.81
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site4_Hoechst.png,10.89
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site4_TRITC_Day0.png,79.43
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site4_TRITC_Day1.png,104.01
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site4_TRITC_Day2.png,99.45
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site1_FITC_Day0.png,110.17
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site1_FITC_Day1.png,73.42
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site1_FITC_Day2.png,70.53
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site1_Hoechst.png,6.18
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site1_TRITC_Day0.png,61.62
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site1_TRITC_Day1.png,105.29
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site1_TRITC_Day2.png,112.39
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site2_FITC_Day0.png,113.17
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site2_FITC_Day1.png,65.02
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site2_FITC_Day2.png,65.94
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site2_Hoechst.png,5.97
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site2_TRITC_Day0.png,78.29
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site2_TRITC_Day1.png,100.34
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site2_TRITC_Day2.png,100.47
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site3_FITC_Day0.png,106.72
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site3_FITC_Day1.png,54.83
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site3_FITC_Day2.png,78.4
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site3_Hoechst.png,9.6
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site3_TRITC_Day0.png,49.48
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site3_TRITC_Day1.png,104.66
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site3_TRITC_Day2.png,111.79
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site4_FITC_Day0.png,109.05
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site4_FITC_Day1.png,45.66
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site4_FITC_Day2.png,42.36
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site4_Hoechst.png,10.51
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site4_TRITC_Day0.png,54.9
